gene,description
hsa-miR-193a-5p,MiR-193a-3p and miR-193a-5p play important roles in osteosarcoma metastasis through down-regulation of the Rab27B and SRR genes and therefore may serve as useful biomarkers for the diagnosis of osteosarcoma
hsa-miR-193b-3p,miR-193b is closely associated with clinical metastasis and identifies miR-193b potentially targets uPA transcripts.
hsa-miR-193b-5p,miR-193b is closely associated with clinical metastasis and identifies miR-193b potentially targets uPA transcripts.
hsa-miR-193b-3p,Downregulation of miR-193b drives ovarian cancer metastasis.
hsa-miR-193b-5p,Downregulation of miR-193b drives ovarian cancer metastasis.
hsa-miR-194-3p,Results demonstrate that miR-194 affected the growth and metastasis of osteosarcoma cells both in vitro and in vivo suggesting that miR-194 functions as tumor suppressor gene.
hsa-miR-194-5p,Results demonstrate that miR-194 affected the growth and metastasis of osteosarcoma cells both in vitro and in vivo suggesting that miR-194 functions as tumor suppressor gene.
hsa-miR-195-3p,Downregulation of miR-195 correlates with lymph node metastasis and colorectal cancer.
hsa-miR-195-5p,Downregulation of miR-195 correlates with lymph node metastasis and colorectal cancer.
hsa-miR-195-3p,"MicroRNA-195 suppresses angiogenesis and metastasis of hepatocellular carcinoma by inhibiting the expression of VEGF, VAV2, and CDC42."
hsa-miR-195-5p,"MicroRNA-195 suppresses angiogenesis and metastasis of hepatocellular carcinoma by inhibiting the expression of VEGF, VAV2, and CDC42."
hsa-miR-195-3p,Downregulation of miR-195/497 contributed to BC progression and metastasis.
hsa-miR-195-5p,Downregulation of miR-195/497 contributed to BC progression and metastasis.
hsa-miR-195-3p,Over-expression of miR-195 substantially inhibits migration and invasion of osteosarcoma cells in vitro and pulmonary metastasis formation in vivo. CCND1 was identified as the target gene of miR-195.
hsa-miR-195-5p,Over-expression of miR-195 substantially inhibits migration and invasion of osteosarcoma cells in vitro and pulmonary metastasis formation in vivo. CCND1 was identified as the target gene of miR-195.
hsa-miR-195-3p,loss of miR-195 expression and thus uncontrolled BCOX1 upregulation might drive prostate cancer metastasis.
hsa-miR-195-5p,loss of miR-195 expression and thus uncontrolled BCOX1 upregulation might drive prostate cancer metastasis.
hsa-miR-196a-3p,Our results suggested hsa-mir-196a2 rs11614913 C/T is associated with a significantly decreased risk of bladder cancer and hsa-mir-146a rs2910164 GG genotype is associated with clinical stage and metastasis in bladder cancer.
hsa-miR-196a-5p,Our results suggested hsa-mir-196a2 rs11614913 C/T is associated with a significantly decreased risk of bladder cancer and hsa-mir-146a rs2910164 GG genotype is associated with clinical stage and metastasis in bladder cancer.
hsa-miR-199a-3p,SRF promotes gastric cancer metastasis and the epithelial to mesenchymal transition through miR-199a-5p-mediated downregulation of E-cadherin.
hsa-miR-199a-5p,SRF promotes gastric cancer metastasis and the epithelial to mesenchymal transition through miR-199a-5p-mediated downregulation of E-cadherin.
hsa-miR-199a-3p,miR-199a/b-3p functions as a tumor suppressor and has an important role in breast cancer metastasis through PAK4/MEK/ERK signaling pathway.
hsa-miR-199a-5p,miR-199a/b-3p functions as a tumor suppressor and has an important role in breast cancer metastasis through PAK4/MEK/ERK signaling pathway.
hsa-miR-199b-3p,miR-199b-5p expression correlates with metastasis spread; negative influence of miR-199b-5p on tumor growth and on the subset of medulloblastoma stem-cell-like cells
hsa-miR-199b-5p,miR-199b-5p expression correlates with metastasis spread; negative influence of miR-199b-5p on tumor growth and on the subset of medulloblastoma stem-cell-like cells
hsa-miR-199b-3p,miR-199a/b-3p functions as a tumor suppressor and has an important role in breast cancer metastasis through PAK4/MEK/ERK signaling pathway.
hsa-miR-199b-5p,miR-199a/b-3p functions as a tumor suppressor and has an important role in breast cancer metastasis through PAK4/MEK/ERK signaling pathway.
hsa-miR-19a-3p,Downregulation of miR-19 is correlated with the presence of lymph node metastasis in vulvar carcinoma.
hsa-miR-19a-5p,Downregulation of miR-19 is correlated with the presence of lymph node metastasis in vulvar carcinoma.
hsa-miR-19a-3p,"miR-17-92 cluster members miR-19a/b facilitated gastric cancer cell migration, invasion and metastasis through targeting the antagonist of c-Myc -- MXD1.[MIR19B]"
hsa-miR-19a-5p,"miR-17-92 cluster members miR-19a/b facilitated gastric cancer cell migration, invasion and metastasis through targeting the antagonist of c-Myc -- MXD1.[MIR19B]"
hsa-miR-19b-1-5p,"miR-17-92 cluster members miR-19a/b facilitated gastric cancer cell migration, invasion and metastasis through targeting the antagonist of c-Myc -- MXD1.[MIR19B]"
hsa-miR-200a-3p,"we found that YAP1 expression was inversely correlated with miR-200a expression in breast cancer clinical specimens, and miR-200a expression was associated with distant metastasis in patients with breast cancer."
hsa-miR-200a-5p,"we found that YAP1 expression was inversely correlated with miR-200a expression in breast cancer clinical specimens, and miR-200a expression was associated with distant metastasis in patients with breast cancer."
hsa-miR-200a-3p,High MiR200a expression is associated with metastasis and invasion of cervical carcinoma.
hsa-miR-200a-5p,High MiR200a expression is associated with metastasis and invasion of cervical carcinoma.
hsa-miR-200a-3p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200a-5p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200a-3p,PELP1 regulates tumor metastasis by controlling the expression and functions of the tumor metastasis suppressors miR-200a and miR-141
hsa-miR-200a-5p,PELP1 regulates tumor metastasis by controlling the expression and functions of the tumor metastasis suppressors miR-200a and miR-141
hsa-miR-200a-3p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200a-5p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200a-3p,Results show that miR-200a suppressed tumor growth and metastasis by directly targeting MACC1 in hepatocellular carcinoma.
hsa-miR-200a-5p,Results show that miR-200a suppressed tumor growth and metastasis by directly targeting MACC1 in hepatocellular carcinoma.
hsa-miR-200a-3p,Findings reveal that miR-200a suppresses metastasis of SP cells by downregulating ZEB2.
hsa-miR-200a-5p,Findings reveal that miR-200a suppresses metastasis of SP cells by downregulating ZEB2.
hsa-miR-200a-3p,Restin inhibits epithelial-mesenchymal transition and tumor metastasis by controlling the expression of the tumor metastasis suppressor mir-200a/b via association with p73.
hsa-miR-200a-5p,Restin inhibits epithelial-mesenchymal transition and tumor metastasis by controlling the expression of the tumor metastasis suppressor mir-200a/b via association with p73.
hsa-miR-200b-3p,miR-200b regulates zinc finger E-box-binding homeobox 2 (ZEB2) expression and thus controls metastasis in gastric cancer.
hsa-miR-200b-5p,miR-200b regulates zinc finger E-box-binding homeobox 2 (ZEB2) expression and thus controls metastasis in gastric cancer.
hsa-miR-200b-3p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200b-5p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200b-3p,"Loss of miR-200b is associated with prostate cancer Epithelial-Mesenchymal Transition, growth and metastasis."
hsa-miR-200b-5p,"Loss of miR-200b is associated with prostate cancer Epithelial-Mesenchymal Transition, growth and metastasis."
hsa-miR-200b-3p,MicroRNA-200b targets protein kinase C alpha and suppresses triple-negative breast cancer metastasis.
hsa-miR-200b-5p,MicroRNA-200b targets protein kinase C alpha and suppresses triple-negative breast cancer metastasis.
hsa-miR-200b-3p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200b-5p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200b-3p,The miR-200b and the miR-183~96~182 cluster target Foxf2 to inhibit invasion and metastasis in lung cancers.
hsa-miR-200b-5p,The miR-200b and the miR-183~96~182 cluster target Foxf2 to inhibit invasion and metastasis in lung cancers.
hsa-miR-200b-3p,"Detection of miRNA-141 and miRNA-200b can help to identify patients undergoing cystectomy who are likely to have lymph node metastasis, and therefore those who may benefit from super-extended PLND."
hsa-miR-200b-5p,"Detection of miRNA-141 and miRNA-200b can help to identify patients undergoing cystectomy who are likely to have lymph node metastasis, and therefore those who may benefit from super-extended PLND."
hsa-miR-200b-3p,Restin inhibits epithelial-mesenchymal transition and tumor metastasis by controlling the expression of the tumor metastasis suppressor mir-200a/b via association with p73.
hsa-miR-200b-5p,Restin inhibits epithelial-mesenchymal transition and tumor metastasis by controlling the expression of the tumor metastasis suppressor mir-200a/b via association with p73.
hsa-miR-200c-3p,The results showed that higher expressions of miR-9 and miR-200c in human breast cancers were associated with lymph node metastasis.
hsa-miR-200c-5p,The results showed that higher expressions of miR-9 and miR-200c in human breast cancers were associated with lymph node metastasis.
hsa-miR-200c-3p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200c-5p,"evidence has indicated that miR-200 is a family of pleiotropic miRNAs that participate in virtually all stages of tumor progression, including tumor initiation, tumor maintenance, malignant metastasis and chemoresistance"
hsa-miR-200c-3p,"Serum miR-200c levels were significantly higher in stage IV than in stage I-III colorectal cancers. High serum miR-200c demonstrated a significant positive correlation with lymph node metastasis, distant metastasis, and prognosis."
hsa-miR-200c-5p,"Serum miR-200c levels were significantly higher in stage IV than in stage I-III colorectal cancers. High serum miR-200c demonstrated a significant positive correlation with lymph node metastasis, distant metastasis, and prognosis."
hsa-miR-200c-3p,signaling through MUC1 influences cancer progression by regulating transcription of microRNAs that are associated with the process of metastasis
hsa-miR-200c-5p,signaling through MUC1 influences cancer progression by regulating transcription of microRNAs that are associated with the process of metastasis
hsa-miR-200c-3p,Study investigated nested regulatory circuits of miR-200c/ZEB1 and miR-200c/ZNF217/TGF-beta/ZEB1 in synergistically promoting trastuzumab resistance and metastasis of breast cancer cells.
hsa-miR-200c-5p,Study investigated nested regulatory circuits of miR-200c/ZEB1 and miR-200c/ZNF217/TGF-beta/ZEB1 in synergistically promoting trastuzumab resistance and metastasis of breast cancer cells.
hsa-miR-200c-3p,"miR-200c functions as an oncogene in colon cancer cells through regulating tumor cell apoptosis, survival, invasion, and metastasis as well as xenograft tumor growth through inhibition of PTEN expression and p53 phosphorylation."
hsa-miR-200c-5p,"miR-200c functions as an oncogene in colon cancer cells through regulating tumor cell apoptosis, survival, invasion, and metastasis as well as xenograft tumor growth through inhibition of PTEN expression and p53 phosphorylation."
hsa-miR-200c-3p,Increased expression of miR-200c in human ovarian cancer tissue samples.miR-200c modulates ovarian cancer cell metastasis potential by targeting ZEB2 expression.
hsa-miR-200c-5p,Increased expression of miR-200c in human ovarian cancer tissue samples.miR-200c modulates ovarian cancer cell metastasis potential by targeting ZEB2 expression.
hsa-miR-200c-3p,miR200c attenuates P-gp-mediated MDR and metastasis by targeting JNK2/c-Jun signaling pathway in colorectal cancer.
hsa-miR-200c-5p,miR200c attenuates P-gp-mediated MDR and metastasis by targeting JNK2/c-Jun signaling pathway in colorectal cancer.
hsa-miR-200c-3p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200c-5p,"our findings in this study suggest that PZH can inhibit metastasis of colorectal cancer cells via modulating TGF-beta1/ZEB/miR-200 signaling network, which might be one of the mechanisms whereby PZH exerts its anticancer function"
hsa-miR-200c-3p,The miR-200c and the miR-183~96~182 cluster target Foxf2 to inhibit invasion and metastasis in lung cancers.
hsa-miR-200c-5p,The miR-200c and the miR-183~96~182 cluster target Foxf2 to inhibit invasion and metastasis in lung cancers.
hsa-miR-200c-3p,High miR-200c expression in blood was significantly associated with lymph node metastasis in cancer.
hsa-miR-200c-5p,High miR-200c expression in blood was significantly associated with lymph node metastasis in cancer.
hsa-miR-200c-3p,"Data suggest that microRNAs miR-10b, 21, 200c, 373 and 520c may control both metastasis and stemness potential."
hsa-miR-200c-5p,"Data suggest that microRNAs miR-10b, 21, 200c, 373 and 520c may control both metastasis and stemness potential."
hsa-miR-200c-3p,These data suggested that miR-200c and miR-31 may play roles in the Serous epithelial ovarian cancer metastasis biology and could be considered as promising targets for therapeutic purposes.
hsa-miR-200c-5p,These data suggested that miR-200c and miR-31 may play roles in the Serous epithelial ovarian cancer metastasis biology and could be considered as promising targets for therapeutic purposes.
hsa-miR-204-3p,Microdeletion of genomic loci containing miR-204 is directly linked with the deregulation of key oncogenic pathways that provide crucial stimulus for tumor growth and metastasis.
hsa-miR-204-5p,Microdeletion of genomic loci containing miR-204 is directly linked with the deregulation of key oncogenic pathways that provide crucial stimulus for tumor growth and metastasis.
hsa-miR-204-3p,"These data demonstrate that miR-204 plays an important role in regulating metastasis of gastric cancer, which is involved in post-transcriptional repression of SIRT1."
hsa-miR-204-5p,"These data demonstrate that miR-204 plays an important role in regulating metastasis of gastric cancer, which is involved in post-transcriptional repression of SIRT1."
hsa-miR-204-3p,Down-regulation of miR-204 is associated with metastasis of intrahepatic cholangiocarcinoma.MiR-204 inhibits epithelial to mesenchymal transition by targeting Slug protein in intrahepatic cholangiocarcinoma cells.
hsa-miR-204-5p,Down-regulation of miR-204 is associated with metastasis of intrahepatic cholangiocarcinoma.MiR-204 inhibits epithelial to mesenchymal transition by targeting Slug protein in intrahepatic cholangiocarcinoma cells.
hsa-miR-205-3p,The role that miR-205 plays in tumor formation and metastasis is likely context-dependent.
hsa-miR-205-5p,The role that miR-205 plays in tumor formation and metastasis is likely context-dependent.
hsa-miR-205-3p,p63/miR-205 may have a role in prostate cancer metastasis
hsa-miR-205-5p,p63/miR-205 may have a role in prostate cancer metastasis
hsa-miR-205-3p,We have demonstrated for the first time a new molecular pathway that connects TMPRSS4 and integrin alpha5 through miR-205 to regulate cancer cell invasion and metastasis
hsa-miR-205-5p,We have demonstrated for the first time a new molecular pathway that connects TMPRSS4 and integrin alpha5 through miR-205 to regulate cancer cell invasion and metastasis
hsa-miR-205-3p,miR-205 could be reduced in the majority of metastatic colorectal cancers and the risk of colorectal cancer metastasis may be predicted by monitoring miR-205 in patient samples collected at the time of the initial diagnosis.
hsa-miR-205-5p,miR-205 could be reduced in the majority of metastatic colorectal cancers and the risk of colorectal cancer metastasis may be predicted by monitoring miR-205 in patient samples collected at the time of the initial diagnosis.
hsa-miR-206,Decreased miR-206 was significantly associated with advanced clinical breast cancer stage and lymph node metastasis.
hsa-miR-206,Decreased miR-206 expression was associated with advanced clinical stage and metastasis in osteosarcoma.
hsa-miR-206,"In hepatocellular carcinoma low level of miR-206 was associated with poor tumor differentiation, multiple tumor nodes, lymph node metastasis, and advanced TNM stage."
hsa-miR-206,miR-206-PAX3-MET signaling is critical to gastric cancer metastasis.
hsa-miR-206,Data show that miR-206 was negatively associated with metastasis in anaplastic cancer and mediate cell migration and invasion through targeting 3'-UTR of MRTF-A and its degradation.
hsa-miR-206,"our study provided a miRNA-gene regulatory network in lung cancer metastasis and further demonstrated the roles of miR-206 and MET in this process, which enhances the understanding of the regulatory mechanism in lung cancer metastasis."
hsa-miR-20a-3p,Low miR-20a is associated with breast cancer metastasis.
hsa-miR-20a-5p,Low miR-20a is associated with breast cancer metastasis.
hsa-miR-20a-3p,High expression of miR-20a was correlated with lymph node metastasis in cervical cancer.
hsa-miR-20a-5p,High expression of miR-20a was correlated with lymph node metastasis in cervical cancer.
hsa-miR-20a-3p,"our study suggests that miRNA 17 family (including miR-17, 20a, 20b) can act as TGFbetaR2 suppressor for reversing cisplatin-resistant and suppressing metastasis in non small cell lung cancer."
hsa-miR-20a-5p,"our study suggests that miRNA 17 family (including miR-17, 20a, 20b) can act as TGFbetaR2 suppressor for reversing cisplatin-resistant and suppressing metastasis in non small cell lung cancer."
hsa-miR-20a-3p,"MiR-20a increases cervical cancer proliferation, metastasis and growth."
hsa-miR-20a-5p,"MiR-20a increases cervical cancer proliferation, metastasis and growth."
hsa-miR-21-3p,miR-21 induces invasion/intravasation/metastasis.
hsa-miR-21-5p,miR-21 induces invasion/intravasation/metastasis.
hsa-miR-21-3p,"for the first time, we have shown that expression of miR-21 positively correlates with clinical stage, lymph node positivity and the development of distant metastasis in patients with CRC."
hsa-miR-21-5p,"for the first time, we have shown that expression of miR-21 positively correlates with clinical stage, lymph node positivity and the development of distant metastasis in patients with CRC."
hsa-miR-21-3p,"K15M may contribute to Kaposi's sarcoma associated herpesvirus-mediated tumor metastasis and angiogenesis via regulation of miR-21 and miR-31, which we show here for the first time to be a specific regulator of cell migration."
hsa-miR-21-5p,"K15M may contribute to Kaposi's sarcoma associated herpesvirus-mediated tumor metastasis and angiogenesis via regulation of miR-21 and miR-31, which we show here for the first time to be a specific regulator of cell migration."
hsa-miR-21-3p,"Upregulation of miR-21 in NSCLC serum was correlated with TNM stage and lymph node metastasis. Furthermore, the status of serum miR-21 expression might be also an independent prognostic factor for NSCLC patients."
hsa-miR-21-5p,"Upregulation of miR-21 in NSCLC serum was correlated with TNM stage and lymph node metastasis. Furthermore, the status of serum miR-21 expression might be also an independent prognostic factor for NSCLC patients."
hsa-miR-21-3p,"DNA damage-induced NF-kappaB activation has a role in promoting cancer metastasis following genotoxic treatment, and NF-kappaB-dependent miR-21 induction may contribute to both therapeutic resistance and metastasis in breast cancer"
hsa-miR-21-5p,"DNA damage-induced NF-kappaB activation has a role in promoting cancer metastasis following genotoxic treatment, and NF-kappaB-dependent miR-21 induction may contribute to both therapeutic resistance and metastasis in breast cancer"
hsa-miR-21-3p,"Data indicate that expression of miR-21 was observed in undifferentiated, prometastatic mouse tumours and in human tumours characterized by p53 mutations and distant metastasis."
hsa-miR-21-5p,"Data indicate that expression of miR-21 was observed in undifferentiated, prometastatic mouse tumours and in human tumours characterized by p53 mutations and distant metastasis."
hsa-miR-21-3p,The expression level of miR-21 in carcinoid tumors with lymph node metastasis was significantly higher than in carcinoid lung tumors without lymph node metastasis.
hsa-miR-21-5p,The expression level of miR-21 in carcinoid tumors with lymph node metastasis was significantly higher than in carcinoid lung tumors without lymph node metastasis.
hsa-miR-21-3p,Overexpression of microRNA-21 during tumorigenesis of liver fluke-associated cholangiocarcinoma contributes to tumor growth and metastasis.
hsa-miR-21-5p,Overexpression of microRNA-21 during tumorigenesis of liver fluke-associated cholangiocarcinoma contributes to tumor growth and metastasis.
hsa-miR-21-3p,"MicroRNA-21 may play an important role in cholangiocarcinoma invasion and metastasis, suggesting that MicroRNA-21 should be further evaluated as a biomarker for predicting cholangiocarcinoma prognosis."
hsa-miR-21-5p,"MicroRNA-21 may play an important role in cholangiocarcinoma invasion and metastasis, suggesting that MicroRNA-21 should be further evaluated as a biomarker for predicting cholangiocarcinoma prognosis."
hsa-miR-21-3p,miR-21 could promote metastasis in breast cancer via the regulation of TIMP3 translation
hsa-miR-21-5p,miR-21 could promote metastasis in breast cancer via the regulation of TIMP3 translation
hsa-miR-21-3p,"miR-21 is a key player in oncogenic EMT, its overexpression is controlled by the cooperation of genetic and epigenetic alterations, and its levels, along with ITGbeta4 and PDCD4 expression, could be exploited as a prognostic tool for CRC metastasis."
hsa-miR-21-5p,"miR-21 is a key player in oncogenic EMT, its overexpression is controlled by the cooperation of genetic and epigenetic alterations, and its levels, along with ITGbeta4 and PDCD4 expression, could be exploited as a prognostic tool for CRC metastasis."
hsa-miR-21-3p,High plasma miR-21 expression is associated with differentiation degree and lymph node metastasis in gastric cancer.
hsa-miR-21-5p,High plasma miR-21 expression is associated with differentiation degree and lymph node metastasis in gastric cancer.
hsa-miR-21-3p,"MCP-1 induces migration, invasion, epithelial-mesenchymal transformation, and intrahepatic metastasis of HCC ells through the induction of their miR-21"
hsa-miR-21-5p,"MCP-1 induces migration, invasion, epithelial-mesenchymal transformation, and intrahepatic metastasis of HCC ells through the induction of their miR-21"
hsa-miR-21-3p,"Recently, microRNA-21 is found to be aberrantly expressed in colorectal cancer and has been recognized to perform significantly in CRC, where it can regulate different target genes and pathways involving tumor proliferation, invasion and metastasis."
hsa-miR-21-5p,"Recently, microRNA-21 is found to be aberrantly expressed in colorectal cancer and has been recognized to perform significantly in CRC, where it can regulate different target genes and pathways involving tumor proliferation, invasion and metastasis."
hsa-miR-21-3p,"Data suggest that microRNAs miR-10b, 21, 200c, 373 and 520c may control both metastasis and stemness potential."
hsa-miR-21-5p,"Data suggest that microRNAs miR-10b, 21, 200c, 373 and 520c may control both metastasis and stemness potential."
hsa-miR-21-3p,"STAT3 and miR-21 are cooperative regulators of stemness, migration and tumor initiation in lung-derived brain metastasis"
hsa-miR-21-5p,"STAT3 and miR-21 are cooperative regulators of stemness, migration and tumor initiation in lung-derived brain metastasis"
hsa-miR-21-3p,"Analyses determined that mir-21 expression significantly increased in esophageal cancer tissues and in TE-13 cells, and that this phenomenon was not associated with staging or lymph node metastasis."
hsa-miR-21-5p,"Analyses determined that mir-21 expression significantly increased in esophageal cancer tissues and in TE-13 cells, and that this phenomenon was not associated with staging or lymph node metastasis."
hsa-miR-210-3p,Higher serum miR-210 levels were significantly correlated with the clinical stage and the presence of regional lymph node metastasis in patients with nonsmall-cell lung cancer.
hsa-miR-210-5p,Higher serum miR-210 levels were significantly correlated with the clinical stage and the presence of regional lymph node metastasis in patients with nonsmall-cell lung cancer.
hsa-miR-210-3p,"Over-expressed microRNA-210 demonstrated a significantly higher risk of recurrence, metastasis and overall decreased survival rates for breast cancer patients."
hsa-miR-210-5p,"Over-expressed microRNA-210 demonstrated a significantly higher risk of recurrence, metastasis and overall decreased survival rates for breast cancer patients."
hsa-miR-210-3p,miR-210 is a useful biomarker for hypoxic tumor cells and a prognostic factor that plays an essential role in colorectal cancer metastasis.
hsa-miR-210-5p,miR-210 is a useful biomarker for hypoxic tumor cells and a prognostic factor that plays an essential role in colorectal cancer metastasis.
hsa-miR-210-3p,circulating microRNA-210 of hypoxia has a role in early systemic metastasis recurrence in melanoma
hsa-miR-210-5p,circulating microRNA-210 of hypoxia has a role in early systemic metastasis recurrence in melanoma
hsa-miR-212-3p,MiR-212 may facilitate pancreatic ductal adenocarcinoma progression and metastasis through targeting PTCH1.
hsa-miR-212-5p,MiR-212 may facilitate pancreatic ductal adenocarcinoma progression and metastasis through targeting PTCH1.
hsa-miR-212-3p,"To confirm the reliability of the analyses, we identified that the metastasis-related gene ZO-1 is a certain target of miR-212 in CRC and keeps declining during colorectal cancers progression"
hsa-miR-212-5p,"To confirm the reliability of the analyses, we identified that the metastasis-related gene ZO-1 is a certain target of miR-212 in CRC and keeps declining during colorectal cancers progression"
hsa-miR-214-3p,Down-regulation of miR-214 contributes to intrahepatic cholangiocarcinoma metastasis by targeting Twist.
hsa-miR-214-5p,Down-regulation of miR-214 contributes to intrahepatic cholangiocarcinoma metastasis by targeting Twist.
hsa-miR-214-3p,"Studied the role of miRNA-214 in the metastatic potential of NSCLC. and identified a number of metastasis-related target genes, including PAPP-A, ALPK2, CDK6 and TNFAIP3. These were validated to be regulated by miRNA-214."
hsa-miR-214-5p,"Studied the role of miRNA-214 in the metastatic potential of NSCLC. and identified a number of metastasis-related target genes, including PAPP-A, ALPK2, CDK6 and TNFAIP3. These were validated to be regulated by miRNA-214."
hsa-miR-214-3p,microRNA-214 is a promising novel biomarker for lymph node metastasis in patients with gastric cancer.
hsa-miR-214-5p,microRNA-214 is a promising novel biomarker for lymph node metastasis in patients with gastric cancer.
hsa-miR-214-3p,"Down-regulation of miR-214 expression was correlated with increased FGFR1 expression levels, which may contribute to increased colorectal liver metastasis."
hsa-miR-214-5p,"Down-regulation of miR-214 expression was correlated with increased FGFR1 expression levels, which may contribute to increased colorectal liver metastasis."
hsa-miR-214-3p,Downregulation of miR-214 is specific of liver metastasis in colorectal cancer and could play a role determining the metastatic niche
hsa-miR-214-5p,Downregulation of miR-214 is specific of liver metastasis in colorectal cancer and could play a role determining the metastatic niche
hsa-miR-216a-3p,MicroRNA-216a inhibits the growth and metastasis of oral squamous cell carcinoma by targeting eIF4B.
hsa-miR-216a-5p,MicroRNA-216a inhibits the growth and metastasis of oral squamous cell carcinoma by targeting eIF4B.
hsa-miR-217,microRNA-217 inhibits tumor progression and metastasis by downregulating EZH2 and predicts favorable prognosis in gastric cancer.
hsa-miR-218-1-3p,Down-regulation of miR-218 is associated with prostate cancer metastasis.
hsa-miR-218-1-3p,These results describe a Slit-miR-218-Robo1 regulatory circuit whose disruption may contribute to gastric cancer metastasis.
hsa-miR-218-1-3p,The identification of novel tumor-suppressive miR-218-mediated molecular pathways has provided new insights into cervical SCC oncogenesis and metastasis
hsa-miR-218-1-3p,"miR-218 is deregulated in gastric cancer patients and is strongly correlated with tumor stage, grade and metastasis."
hsa-miR-218-2-3p,"miR-218 is deregulated in gastric cancer patients and is strongly correlated with tumor stage, grade and metastasis."
hsa-miR-218-5p,"miR-218 is deregulated in gastric cancer patients and is strongly correlated with tumor stage, grade and metastasis."
hsa-miR-22-3p,"Increased expressions of miR-183 and miR-22 may both repress the protein level of ezrin, which might inhibit ovarian cancer metastasis."
hsa-miR-22-5p,"Increased expressions of miR-183 and miR-22 may both repress the protein level of ezrin, which might inhibit ovarian cancer metastasis."
hsa-miR-22-3p,"miR-22 is down-regulated in hepatocellular carcinoma, and its expression is associated with the differentiation, metastasis and disease progression. Ezrin is a potential regulatory protein of miR-22."
hsa-miR-22-5p,"miR-22 is down-regulated in hepatocellular carcinoma, and its expression is associated with the differentiation, metastasis and disease progression. Ezrin is a potential regulatory protein of miR-22."
hsa-miR-22-3p,Findings implicate miR-22 as a crucial epigenetic modifier and promoter of EMT and breast cancer stemness toward metastasis.
hsa-miR-22-5p,Findings implicate miR-22 as a crucial epigenetic modifier and promoter of EMT and breast cancer stemness toward metastasis.
hsa-miR-22-3p,microRNA-22 acts as a metastasis suppressor by targeting metadherin in gastric cancer.
hsa-miR-22-5p,microRNA-22 acts as a metastasis suppressor by targeting metadherin in gastric cancer.
hsa-miR-221-3p,"High expression of miRNA-221 can predict local recurrence of HCC, and fold changes in miRNA-221 less than 1 can be used as a predictive marker of metastasis after curative surgical resection in patients with HCC."
hsa-miR-221-5p,"High expression of miRNA-221 can predict local recurrence of HCC, and fold changes in miRNA-221 less than 1 can be used as a predictive marker of metastasis after curative surgical resection in patients with HCC."
hsa-miR-221-3p,"in gastricd cancer,high expression of miR-221 showed a significant correlation with advanced tumour-node-metastasis stage, local invasion and lymphatic metastasis"
hsa-miR-221-5p,"in gastricd cancer,high expression of miR-221 showed a significant correlation with advanced tumour-node-metastasis stage, local invasion and lymphatic metastasis"
hsa-miR-221-3p,"In metastatic colorectal cancer cells, reduced levels of miR-221* and miR-224 increase levels of MBD2, thereby decreasing expression of the metastasis suppressor maspin."
hsa-miR-221-5p,"In metastatic colorectal cancer cells, reduced levels of miR-221* and miR-224 increase levels of MBD2, thereby decreasing expression of the metastasis suppressor maspin."
hsa-miR-221-3p,"miR-221 may promote trastuzumab resistance and metastasis of HER2-positive breast cancers by targeting PTEN, suggesting its role as a potential biomarker for progression and poor prognosis"
hsa-miR-221-5p,"miR-221 may promote trastuzumab resistance and metastasis of HER2-positive breast cancers by targeting PTEN, suggesting its role as a potential biomarker for progression and poor prognosis"
hsa-miR-221-3p,"Subsequent investigations revealed that TIMP2 is a direct target of miR-221/222, and overexpression of TIMP2 reduced the miR-221/222-mediated invasion, metastasis, and angiogenesis of glioma cells."
